dataset,seed,epsilon_train,epsilon_repair,method,reason,run_dir,syn_path,official_syn_path
A,1,1.0,0.5,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed1\train1.0_repair0.5,outputs\A\dp_diffusion_dpcr\seed1\train1.0_repair0.5\synth.csv,outputs\A\dp_diffusion_dpcr\seed1\train1.0_repair0.5\synth.csv
A,1,3.0,2.0,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed1\train3.0_repair2.0,outputs\A\dp_diffusion_dpcr\seed1\train3.0_repair2.0\synth.csv,outputs\A\dp_diffusion_dpcr\seed1\train3.0_repair2.0\synth.csv
A,1,4.0,1.0,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed1\train4.0_repair1.0,outputs\A\dp_diffusion_dpcr\seed1\train4.0_repair1.0\synth.csv,outputs\A\dp_diffusion_dpcr\seed1\train4.0_repair1.0\synth.csv
A,2,0.5,0.5,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed2\train0.5_repair0.5,outputs\A\dp_diffusion_dpcr\seed2\train0.5_repair0.5\synth.csv,outputs\A\dp_diffusion_dpcr\seed2\train0.5_repair0.5\synth.csv
A,2,1.0,0.5,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed2\train1.0_repair0.5,outputs\A\dp_diffusion_dpcr\seed2\train1.0_repair0.5\synth.csv,outputs\A\dp_diffusion_dpcr\seed2\train1.0_repair0.5\synth.csv
A,2,3.0,2.0,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed2\train3.0_repair2.0,outputs\A\dp_diffusion_dpcr\seed2\train3.0_repair2.0\synth.csv,outputs\A\dp_diffusion_dpcr\seed2\train3.0_repair2.0\synth.csv
A,2,4.0,1.0,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed2\train4.0_repair1.0,outputs\A\dp_diffusion_dpcr\seed2\train4.0_repair1.0\synth.csv,outputs\A\dp_diffusion_dpcr\seed2\train4.0_repair1.0\synth.csv
A,3,0.5,0.5,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed3\train0.5_repair0.5,outputs\A\dp_diffusion_dpcr\seed3\train0.5_repair0.5\synth.csv,outputs\A\dp_diffusion_dpcr\seed3\train0.5_repair0.5\synth.csv
A,3,1.0,0.5,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed3\train1.0_repair0.5,outputs\A\dp_diffusion_dpcr\seed3\train1.0_repair0.5\synth.csv,outputs\A\dp_diffusion_dpcr\seed3\train1.0_repair0.5\synth.csv
A,3,3.0,2.0,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed3\train3.0_repair2.0,outputs\A\dp_diffusion_dpcr\seed3\train3.0_repair2.0\synth.csv,outputs\A\dp_diffusion_dpcr\seed3\train3.0_repair2.0\synth.csv
A,3,4.0,1.0,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed3\train4.0_repair1.0,outputs\A\dp_diffusion_dpcr\seed3\train4.0_repair1.0\synth.csv,outputs\A\dp_diffusion_dpcr\seed3\train4.0_repair1.0\synth.csv
A,4,0.5,0.5,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed4\train0.5_repair0.5,outputs\A\dp_diffusion_dpcr\seed4\train0.5_repair0.5\synth.csv,outputs\A\dp_diffusion_dpcr\seed4\train0.5_repair0.5\synth.csv
A,4,1.0,0.5,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed4\train1.0_repair0.5,outputs\A\dp_diffusion_dpcr\seed4\train1.0_repair0.5\synth.csv,outputs\A\dp_diffusion_dpcr\seed4\train1.0_repair0.5\synth.csv
A,4,3.0,2.0,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed4\train3.0_repair2.0,outputs\A\dp_diffusion_dpcr\seed4\train3.0_repair2.0\synth.csv,outputs\A\dp_diffusion_dpcr\seed4\train3.0_repair2.0\synth.csv
A,4,4.0,1.0,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed4\train4.0_repair1.0,outputs\A\dp_diffusion_dpcr\seed4\train4.0_repair1.0\synth.csv,outputs\A\dp_diffusion_dpcr\seed4\train4.0_repair1.0\synth.csv
A,5,0.5,0.5,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed5\train0.5_repair0.5,outputs\A\dp_diffusion_dpcr\seed5\train0.5_repair0.5\synth.csv,outputs\A\dp_diffusion_dpcr\seed5\train0.5_repair0.5\synth.csv
A,5,1.0,0.5,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed5\train1.0_repair0.5,outputs\A\dp_diffusion_dpcr\seed5\train1.0_repair0.5\synth.csv,outputs\A\dp_diffusion_dpcr\seed5\train1.0_repair0.5\synth.csv
A,5,3.0,2.0,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed5\train3.0_repair2.0,outputs\A\dp_diffusion_dpcr\seed5\train3.0_repair2.0\synth.csv,outputs\A\dp_diffusion_dpcr\seed5\train3.0_repair2.0\synth.csv
A,5,4.0,1.0,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed5\train4.0_repair1.0,outputs\A\dp_diffusion_dpcr\seed5\train4.0_repair1.0\synth.csv,outputs\A\dp_diffusion_dpcr\seed5\train4.0_repair1.0\synth.csv
A,6,0.5,0.5,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed6\train0.5_repair0.5,outputs\A\dp_diffusion_dpcr\seed6\train0.5_repair0.5\synth.csv,outputs\A\dp_diffusion_dpcr\seed6\train0.5_repair0.5\synth.csv
A,6,1.0,0.5,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed6\train1.0_repair0.5,outputs\A\dp_diffusion_dpcr\seed6\train1.0_repair0.5\synth.csv,outputs\A\dp_diffusion_dpcr\seed6\train1.0_repair0.5\synth.csv
A,6,3.0,2.0,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed6\train3.0_repair2.0,outputs\A\dp_diffusion_dpcr\seed6\train3.0_repair2.0\synth.csv,outputs\A\dp_diffusion_dpcr\seed6\train3.0_repair2.0\synth.csv
A,6,4.0,1.0,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed6\train4.0_repair1.0,outputs\A\dp_diffusion_dpcr\seed6\train4.0_repair1.0\synth.csv,outputs\A\dp_diffusion_dpcr\seed6\train4.0_repair1.0\synth.csv
A,7,0.5,0.5,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed7\train0.5_repair0.5,outputs\A\dp_diffusion_dpcr\seed7\train0.5_repair0.5\synth.csv,outputs\A\dp_diffusion_dpcr\seed7\train0.5_repair0.5\synth.csv
A,7,1.0,0.5,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed7\train1.0_repair0.5,outputs\A\dp_diffusion_dpcr\seed7\train1.0_repair0.5\synth.csv,outputs\A\dp_diffusion_dpcr\seed7\train1.0_repair0.5\synth.csv
A,7,3.0,2.0,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed7\train3.0_repair2.0,outputs\A\dp_diffusion_dpcr\seed7\train3.0_repair2.0\synth.csv,outputs\A\dp_diffusion_dpcr\seed7\train3.0_repair2.0\synth.csv
A,7,4.0,1.0,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed7\train4.0_repair1.0,outputs\A\dp_diffusion_dpcr\seed7\train4.0_repair1.0\synth.csv,outputs\A\dp_diffusion_dpcr\seed7\train4.0_repair1.0\synth.csv
A,8,0.5,0.5,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed8\train0.5_repair0.5,outputs\A\dp_diffusion_dpcr\seed8\train0.5_repair0.5\synth.csv,outputs\A\dp_diffusion_dpcr\seed8\train0.5_repair0.5\synth.csv
A,8,1.0,0.5,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed8\train1.0_repair0.5,outputs\A\dp_diffusion_dpcr\seed8\train1.0_repair0.5\synth.csv,outputs\A\dp_diffusion_dpcr\seed8\train1.0_repair0.5\synth.csv
A,8,3.0,2.0,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed8\train3.0_repair2.0,outputs\A\dp_diffusion_dpcr\seed8\train3.0_repair2.0\synth.csv,outputs\A\dp_diffusion_dpcr\seed8\train3.0_repair2.0\synth.csv
A,8,4.0,1.0,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed8\train4.0_repair1.0,outputs\A\dp_diffusion_dpcr\seed8\train4.0_repair1.0\synth.csv,outputs\A\dp_diffusion_dpcr\seed8\train4.0_repair1.0\synth.csv
A,9,0.5,0.5,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed9\train0.5_repair0.5,outputs\A\dp_diffusion_dpcr\seed9\train0.5_repair0.5\synth.csv,outputs\A\dp_diffusion_dpcr\seed9\train0.5_repair0.5\synth.csv
A,9,1.0,0.5,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed9\train1.0_repair0.5,outputs\A\dp_diffusion_dpcr\seed9\train1.0_repair0.5\synth.csv,outputs\A\dp_diffusion_dpcr\seed9\train1.0_repair0.5\synth.csv
A,9,3.0,2.0,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed9\train3.0_repair2.0,outputs\A\dp_diffusion_dpcr\seed9\train3.0_repair2.0\synth.csv,outputs\A\dp_diffusion_dpcr\seed9\train3.0_repair2.0\synth.csv
A,9,4.0,1.0,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed9\train4.0_repair1.0,outputs\A\dp_diffusion_dpcr\seed9\train4.0_repair1.0\synth.csv,outputs\A\dp_diffusion_dpcr\seed9\train4.0_repair1.0\synth.csv
A,10,0.5,0.5,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed10\train0.5_repair0.5,outputs\A\dp_diffusion_dpcr\seed10\train0.5_repair0.5\synth.csv,outputs\A\dp_diffusion_dpcr\seed10\train0.5_repair0.5\synth.csv
A,10,1.0,0.5,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed10\train1.0_repair0.5,outputs\A\dp_diffusion_dpcr\seed10\train1.0_repair0.5\synth.csv,outputs\A\dp_diffusion_dpcr\seed10\train1.0_repair0.5\synth.csv
A,10,3.0,2.0,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed10\train3.0_repair2.0,outputs\A\dp_diffusion_dpcr\seed10\train3.0_repair2.0\synth.csv,outputs\A\dp_diffusion_dpcr\seed10\train3.0_repair2.0\synth.csv
A,10,4.0,1.0,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed10\train4.0_repair1.0,outputs\A\dp_diffusion_dpcr\seed10\train4.0_repair1.0\synth.csv,outputs\A\dp_diffusion_dpcr\seed10\train4.0_repair1.0\synth.csv
A,11,1.0,0.5,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed11\train1.0_repair0.5,outputs\A\dp_diffusion_dpcr\seed11\train1.0_repair0.5\synth.csv,outputs\A\dp_diffusion_dpcr\seed11\train1.0_repair0.5\synth.csv
A,11,3.0,2.0,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed11\train3.0_repair2.0,outputs\A\dp_diffusion_dpcr\seed11\train3.0_repair2.0\synth.csv,outputs\A\dp_diffusion_dpcr\seed11\train3.0_repair2.0\synth.csv
A,12,1.0,0.5,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed12\train1.0_repair0.5,outputs\A\dp_diffusion_dpcr\seed12\train1.0_repair0.5\synth.csv,outputs\A\dp_diffusion_dpcr\seed12\train1.0_repair0.5\synth.csv
A,12,3.0,2.0,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed12\train3.0_repair2.0,outputs\A\dp_diffusion_dpcr\seed12\train3.0_repair2.0\synth.csv,outputs\A\dp_diffusion_dpcr\seed12\train3.0_repair2.0\synth.csv
A,42,0.5,0.5,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed42\train0.5_repair0.5,outputs\A\dp_diffusion_dpcr\seed42\train0.5_repair0.5\synth.csv,outputs\A\dp_diffusion_dpcr\seed42\train0.5_repair0.5\synth.csv
A,42,4.0,1.0,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed42\train4.0_repair1.0,outputs\A\dp_diffusion_dpcr\seed42\train4.0_repair1.0\synth.csv,outputs\A\dp_diffusion_dpcr\seed42\train4.0_repair1.0\synth.csv
A,43,0.5,0.5,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed43\train0.5_repair0.5,outputs\A\dp_diffusion_dpcr\seed43\train0.5_repair0.5\synth.csv,outputs\A\dp_diffusion_dpcr\seed43\train0.5_repair0.5\synth.csv
A,43,4.0,1.0,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed43\train4.0_repair1.0,outputs\A\dp_diffusion_dpcr\seed43\train4.0_repair1.0\synth.csv,outputs\A\dp_diffusion_dpcr\seed43\train4.0_repair1.0\synth.csv
A,44,0.5,0.5,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed44\train0.5_repair0.5,outputs\A\dp_diffusion_dpcr\seed44\train0.5_repair0.5\synth.csv,outputs\A\dp_diffusion_dpcr\seed44\train0.5_repair0.5\synth.csv
A,44,4.0,1.0,DP-Diffusion+DP-CR,no_dp_match,outputs\A\dp_diffusion_dpcr\seed44\train4.0_repair1.0,outputs\A\dp_diffusion_dpcr\seed44\train4.0_repair1.0\synth.csv,outputs\A\dp_diffusion_dpcr\seed44\train4.0_repair1.0\synth.csv
