dataset,method,epsilon,seed,syn_path,run_dir,utility_main,privacy_main
A,DP-Diffusion+DP-CR,5.000000000000,0,outputs\A\dp_diffusion_dpcr\seed0\train3.0_repair2.0\synth.csv,outputs\A\dp_diffusion_dpcr\seed0\train3.0_repair2.0,,0.038250211327
C,DP-Diffusion+DP-CR,1.000000000000,5,outputs\C\dp_diffusion_dpcr\seed5\train0.5_repair0.5\synth_unrepaired.csv,outputs\C\dp_diffusion_dpcr\seed5\train0.5_repair0.5,,0.499999999999
C,DP-Diffusion+DP-CR,5.000000000000,4,outputs\C\dp_diffusion_dpcr\seed4\train4.0_repair1.0\synth_unrepaired.csv,outputs\C\dp_diffusion_dpcr\seed4\train4.0_repair1.0,,0.499999999999
A,DP-Diffusion+DP-CR,5.000000000000,10,outputs\A\dp_diffusion_dpcr\seed10\train3.0_repair2.0\synth.csv,outputs\A\dp_diffusion_dpcr\seed10\train3.0_repair2.0,,0.036499215071
A,DP-Diffusion+DP-CR,1.500000000000,12,outputs\A\dp_diffusion_dpcr\seed12\train1.0_repair0.5\synth.csv,outputs\A\dp_diffusion_dpcr\seed12\train1.0_repair0.5,,0.036167129574
A,DP-Diffusion+DP-CR,5.000000000000,10,outputs\A\dp_diffusion_dpcr\seed10\train4.0_repair1.0\synth.csv,outputs\A\dp_diffusion_dpcr\seed10\train4.0_repair1.0,,0.036348267117
A,DP-Diffusion+DP-CR,1.500000000000,11,outputs\A\dp_diffusion_dpcr\seed11\train1.0_repair0.5\synth.csv,outputs\A\dp_diffusion_dpcr\seed11\train1.0_repair0.5,,0.038974761502
A,DP-Diffusion+DP-CR,5.000000000000,11,outputs\A\dp_diffusion_dpcr\seed11\train3.0_repair2.0\synth.csv,outputs\A\dp_diffusion_dpcr\seed11\train3.0_repair2.0,,0.036016181621
C,DP-Diffusion+DP-CR,5.000000000000,6,outputs\C\dp_diffusion_dpcr\seed6\train3.0_repair2.0\synth_unrepaired.csv,outputs\C\dp_diffusion_dpcr\seed6\train3.0_repair2.0,,0.499999999999
C,DP-Diffusion+DP-CR,1.500000000000,6,outputs\C\dp_diffusion_dpcr\seed6\train1.0_repair0.5\synth_unrepaired.csv,outputs\C\dp_diffusion_dpcr\seed6\train1.0_repair0.5,,0.499999999999
C,DP-Diffusion+DP-CR,1.000000000000,6,outputs\C\dp_diffusion_dpcr\seed6\train0.5_repair0.5\synth_unrepaired.csv,outputs\C\dp_diffusion_dpcr\seed6\train0.5_repair0.5,,0.499999999999
C,DP-Diffusion+DP-CR,5.000000000000,6,outputs\C\dp_diffusion_dpcr\seed6\train4.0_repair1.0\synth_unrepaired.csv,outputs\C\dp_diffusion_dpcr\seed6\train4.0_repair1.0,,0.499999999999
C,DP-Diffusion+DP-CR,5.000000000000,7,outputs\C\dp_diffusion_dpcr\seed7\train4.0_repair1.0\synth_unrepaired.csv,outputs\C\dp_diffusion_dpcr\seed7\train4.0_repair1.0,,0.499999999999
C,DP-Diffusion+DP-CR,1.000000000000,7,outputs\C\dp_diffusion_dpcr\seed7\train0.5_repair0.5\synth_unrepaired.csv,outputs\C\dp_diffusion_dpcr\seed7\train0.5_repair0.5,,0.499999999999
C,DP-Diffusion+DP-CR,1.500000000000,7,outputs\C\dp_diffusion_dpcr\seed7\train1.0_repair0.5\synth_unrepaired.csv,outputs\C\dp_diffusion_dpcr\seed7\train1.0_repair0.5,,0.499999999999
C,DP-Diffusion+DP-CR,5.000000000000,7,outputs\C\dp_diffusion_dpcr\seed7\train3.0_repair2.0\synth_unrepaired.csv,outputs\C\dp_diffusion_dpcr\seed7\train3.0_repair2.0,,0.499999999999
C,DP-Diffusion+DP-CR,5.000000000000,8,outputs\C\dp_diffusion_dpcr\seed8\train3.0_repair2.0\synth_unrepaired.csv,outputs\C\dp_diffusion_dpcr\seed8\train3.0_repair2.0,,0.499999999999
C,DP-Diffusion+DP-CR,1.500000000000,8,outputs\C\dp_diffusion_dpcr\seed8\train1.0_repair0.5\synth_unrepaired.csv,outputs\C\dp_diffusion_dpcr\seed8\train1.0_repair0.5,,0.499999999999
C,DP-Diffusion+DP-CR,1.500000000000,5,outputs\C\dp_diffusion_dpcr\seed5\train1.0_repair0.5\synth_unrepaired.csv,outputs\C\dp_diffusion_dpcr\seed5\train1.0_repair0.5,,0.499999999999
C,DP-Diffusion+DP-CR,5.000000000000,5,outputs\C\dp_diffusion_dpcr\seed5\train3.0_repair2.0\synth_unrepaired.csv,outputs\C\dp_diffusion_dpcr\seed5\train3.0_repair2.0,,0.499999999999
C,DP-Diffusion+DP-CR,5.000000000000,5,outputs\C\dp_diffusion_dpcr\seed5\train4.0_repair1.0\synth_unrepaired.csv,outputs\C\dp_diffusion_dpcr\seed5\train4.0_repair1.0,,0.499999999999
C,DP-Diffusion+DP-CR,1.000000000000,4,outputs\C\dp_diffusion_dpcr\seed4\train0.5_repair0.5\synth_unrepaired.csv,outputs\C\dp_diffusion_dpcr\seed4\train0.5_repair0.5,,0.499999999999
C,DP-Diffusion+DP-CR,1.500000000000,4,outputs\C\dp_diffusion_dpcr\seed4\train1.0_repair0.5\synth_unrepaired.csv,outputs\C\dp_diffusion_dpcr\seed4\train1.0_repair0.5,,0.499999999999
C,DP-Diffusion+DP-CR,5.000000000000,4,outputs\C\dp_diffusion_dpcr\seed4\train3.0_repair2.0\synth_unrepaired.csv,outputs\C\dp_diffusion_dpcr\seed4\train3.0_repair2.0,,0.499999999999
A,DP-Diffusion+DP-CR,5.000000000000,8,outputs\A\dp_diffusion_dpcr\seed8\train3.0_repair2.0\synth.csv,outputs\A\dp_diffusion_dpcr\seed8\train3.0_repair2.0,,0.037767177877
C,DP-Diffusion+DP-CR,5.000000000000,10,outputs\C\dp_diffusion_dpcr\seed10\train3.0_repair2.0\synth.csv,outputs\C\dp_diffusion_dpcr\seed10\train3.0_repair2.0,,0.499999999999
C,DP-Diffusion+DP-CR,5.000000000000,10,outputs\C\dp_diffusion_dpcr\seed10\train4.0_repair1.0\synth.csv,outputs\C\dp_diffusion_dpcr\seed10\train4.0_repair1.0,,0.499999999999
C,DP-Diffusion+DP-CR,1.500000000000,11,outputs\C\dp_diffusion_dpcr\seed11\train1.0_repair0.5\synth.csv,outputs\C\dp_diffusion_dpcr\seed11\train1.0_repair0.5,,0.499999999999
C,DP-Diffusion+DP-CR,5.000000000000,8,outputs\C\dp_diffusion_dpcr\seed8\train4.0_repair1.0\synth_unrepaired.csv,outputs\C\dp_diffusion_dpcr\seed8\train4.0_repair1.0,,0.499999999999
C,DP-Diffusion+DP-CR,1.000000000000,8,outputs\C\dp_diffusion_dpcr\seed8\train0.5_repair0.5\synth_unrepaired.csv,outputs\C\dp_diffusion_dpcr\seed8\train0.5_repair0.5,,0.499999999999
C,DP-Diffusion+DP-CR,1.000000000000,0,outputs\C\dp_diffusion_dpcr\seed0\train0.5_repair0.5\synth.csv,outputs\C\dp_diffusion_dpcr\seed0\train0.5_repair0.5,,0.499999999999
C,DP-Diffusion+DP-CR,1.500000000000,0,outputs\C\dp_diffusion_dpcr\seed0\train1.0_repair0.5\synth.csv,outputs\C\dp_diffusion_dpcr\seed0\train1.0_repair0.5,,0.499999999999
C,DP-Diffusion+DP-CR,1.500000000000,1,outputs\C\dp_diffusion_dpcr\seed1\train1.0_repair0.5\synth.csv,outputs\C\dp_diffusion_dpcr\seed1\train1.0_repair0.5,,0.499999999999
C,DP-Diffusion+DP-CR,5.000000000000,0,outputs\C\dp_diffusion_dpcr\seed0\train3.0_repair2.0\synth.csv,outputs\C\dp_diffusion_dpcr\seed0\train3.0_repair2.0,,0.499999999999
C,DP-Diffusion+DP-CR,5.000000000000,0,outputs\C\dp_diffusion_dpcr\seed0\train4.0_repair1.0\synth.csv,outputs\C\dp_diffusion_dpcr\seed0\train4.0_repair1.0,,0.499999999999
C,DP-Diffusion+DP-CR,1.000000000000,1,outputs\C\dp_diffusion_dpcr\seed1\train0.5_repair0.5\synth.csv,outputs\C\dp_diffusion_dpcr\seed1\train0.5_repair0.5,,0.499999999999
C,DP-Diffusion+DP-CR,5.000000000000,1,outputs\C\dp_diffusion_dpcr\seed1\train4.0_repair1.0\synth.csv,outputs\C\dp_diffusion_dpcr\seed1\train4.0_repair1.0,,0.499999999999
