dataset,seed,epsilon_train,epsilon_repair,method,reason,run_dir,syn_path,official_syn_path
C,3,1.0,0.5,DP-Diffusion+DP-CR,no_dp_match,outputs\C\dp_diffusion_dpcr\seed3\train1.0_repair0.5,outputs\C\dp_diffusion_dpcr\seed3\train1.0_repair0.5\synth.csv,outputs\C\dp_diffusion_dpcr\seed3\train1.0_repair0.5\synth.csv
C,3,3.0,2.0,DP-Diffusion+DP-CR,no_dp_match,outputs\C\dp_diffusion_dpcr\seed3\train3.0_repair2.0,outputs\C\dp_diffusion_dpcr\seed3\train3.0_repair2.0\synth.csv,outputs\C\dp_diffusion_dpcr\seed3\train3.0_repair2.0\synth.csv
C,3,4.0,1.0,DP-Diffusion+DP-CR,no_dp_match,outputs\C\dp_diffusion_dpcr\seed3\train4.0_repair1.0,outputs\C\dp_diffusion_dpcr\seed3\train4.0_repair1.0\synth.csv,outputs\C\dp_diffusion_dpcr\seed3\train4.0_repair1.0\synth.csv
C,4,0.5,0.5,DP-Diffusion+DP-CR,no_dp_match,outputs\C\dp_diffusion_dpcr\seed4\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed4\train0.5_repair0.5\synth.csv,outputs\C\dp_diffusion_dpcr\seed4\train0.5_repair0.5\synth.csv
C,4,1.0,0.5,DP-Diffusion+DP-CR,no_dp_match,outputs\C\dp_diffusion_dpcr\seed4\train1.0_repair0.5,outputs\C\dp_diffusion_dpcr\seed4\train1.0_repair0.5\synth.csv,outputs\C\dp_diffusion_dpcr\seed4\train1.0_repair0.5\synth.csv
C,4,3.0,2.0,DP-Diffusion+DP-CR,no_dp_match,outputs\C\dp_diffusion_dpcr\seed4\train3.0_repair2.0,outputs\C\dp_diffusion_dpcr\seed4\train3.0_repair2.0\synth.csv,outputs\C\dp_diffusion_dpcr\seed4\train3.0_repair2.0\synth.csv
C,4,4.0,1.0,DP-Diffusion+DP-CR,no_dp_match,outputs\C\dp_diffusion_dpcr\seed4\train4.0_repair1.0,outputs\C\dp_diffusion_dpcr\seed4\train4.0_repair1.0\synth.csv,outputs\C\dp_diffusion_dpcr\seed4\train4.0_repair1.0\synth.csv
C,5,0.5,0.5,DP-Diffusion+DP-CR,no_dp_match,outputs\C\dp_diffusion_dpcr\seed5\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed5\train0.5_repair0.5\synth.csv,outputs\C\dp_diffusion_dpcr\seed5\train0.5_repair0.5\synth.csv
C,5,1.0,0.5,DP-Diffusion+DP-CR,no_dp_match,outputs\C\dp_diffusion_dpcr\seed5\train1.0_repair0.5,outputs\C\dp_diffusion_dpcr\seed5\train1.0_repair0.5\synth.csv,outputs\C\dp_diffusion_dpcr\seed5\train1.0_repair0.5\synth.csv
C,5,3.0,2.0,DP-Diffusion+DP-CR,no_dp_match,outputs\C\dp_diffusion_dpcr\seed5\train3.0_repair2.0,outputs\C\dp_diffusion_dpcr\seed5\train3.0_repair2.0\synth.csv,outputs\C\dp_diffusion_dpcr\seed5\train3.0_repair2.0\synth.csv
C,5,4.0,1.0,DP-Diffusion+DP-CR,no_dp_match,outputs\C\dp_diffusion_dpcr\seed5\train4.0_repair1.0,outputs\C\dp_diffusion_dpcr\seed5\train4.0_repair1.0\synth.csv,outputs\C\dp_diffusion_dpcr\seed5\train4.0_repair1.0\synth.csv
C,6,0.5,0.5,DP-Diffusion+DP-CR,no_dp_match,outputs\C\dp_diffusion_dpcr\seed6\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed6\train0.5_repair0.5\synth.csv,outputs\C\dp_diffusion_dpcr\seed6\train0.5_repair0.5\synth.csv
C,6,1.0,0.5,DP-Diffusion+DP-CR,no_dp_match,outputs\C\dp_diffusion_dpcr\seed6\train1.0_repair0.5,outputs\C\dp_diffusion_dpcr\seed6\train1.0_repair0.5\synth.csv,outputs\C\dp_diffusion_dpcr\seed6\train1.0_repair0.5\synth.csv
C,6,3.0,2.0,DP-Diffusion+DP-CR,no_dp_match,outputs\C\dp_diffusion_dpcr\seed6\train3.0_repair2.0,outputs\C\dp_diffusion_dpcr\seed6\train3.0_repair2.0\synth.csv,outputs\C\dp_diffusion_dpcr\seed6\train3.0_repair2.0\synth.csv
C,6,4.0,1.0,DP-Diffusion+DP-CR,no_dp_match,outputs\C\dp_diffusion_dpcr\seed6\train4.0_repair1.0,outputs\C\dp_diffusion_dpcr\seed6\train4.0_repair1.0\synth.csv,outputs\C\dp_diffusion_dpcr\seed6\train4.0_repair1.0\synth.csv
C,7,0.5,0.5,DP-Diffusion+DP-CR,no_dp_match,outputs\C\dp_diffusion_dpcr\seed7\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed7\train0.5_repair0.5\synth.csv,outputs\C\dp_diffusion_dpcr\seed7\train0.5_repair0.5\synth.csv
C,7,1.0,0.5,DP-Diffusion+DP-CR,no_dp_match,outputs\C\dp_diffusion_dpcr\seed7\train1.0_repair0.5,outputs\C\dp_diffusion_dpcr\seed7\train1.0_repair0.5\synth.csv,outputs\C\dp_diffusion_dpcr\seed7\train1.0_repair0.5\synth.csv
C,7,3.0,2.0,DP-Diffusion+DP-CR,no_dp_match,outputs\C\dp_diffusion_dpcr\seed7\train3.0_repair2.0,outputs\C\dp_diffusion_dpcr\seed7\train3.0_repair2.0\synth.csv,outputs\C\dp_diffusion_dpcr\seed7\train3.0_repair2.0\synth.csv
C,7,4.0,1.0,DP-Diffusion+DP-CR,no_dp_match,outputs\C\dp_diffusion_dpcr\seed7\train4.0_repair1.0,outputs\C\dp_diffusion_dpcr\seed7\train4.0_repair1.0\synth.csv,outputs\C\dp_diffusion_dpcr\seed7\train4.0_repair1.0\synth.csv
C,8,0.5,0.5,DP-Diffusion+DP-CR,no_dp_match,outputs\C\dp_diffusion_dpcr\seed8\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed8\train0.5_repair0.5\synth.csv,outputs\C\dp_diffusion_dpcr\seed8\train0.5_repair0.5\synth.csv
C,8,1.0,0.5,DP-Diffusion+DP-CR,no_dp_match,outputs\C\dp_diffusion_dpcr\seed8\train1.0_repair0.5,outputs\C\dp_diffusion_dpcr\seed8\train1.0_repair0.5\synth.csv,outputs\C\dp_diffusion_dpcr\seed8\train1.0_repair0.5\synth.csv
C,8,3.0,2.0,DP-Diffusion+DP-CR,no_dp_match,outputs\C\dp_diffusion_dpcr\seed8\train3.0_repair2.0,outputs\C\dp_diffusion_dpcr\seed8\train3.0_repair2.0\synth.csv,outputs\C\dp_diffusion_dpcr\seed8\train3.0_repair2.0\synth.csv
C,8,4.0,1.0,DP-Diffusion+DP-CR,no_dp_match,outputs\C\dp_diffusion_dpcr\seed8\train4.0_repair1.0,outputs\C\dp_diffusion_dpcr\seed8\train4.0_repair1.0\synth.csv,outputs\C\dp_diffusion_dpcr\seed8\train4.0_repair1.0\synth.csv
C,9,0.5,0.5,DP-Diffusion+DP-CR,no_dp_match,outputs\C\dp_diffusion_dpcr\seed9\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed9\train0.5_repair0.5\synth.csv,outputs\C\dp_diffusion_dpcr\seed9\train0.5_repair0.5\synth.csv
C,9,1.0,0.5,DP-Diffusion+DP-CR,no_dp_match,outputs\C\dp_diffusion_dpcr\seed9\train1.0_repair0.5,outputs\C\dp_diffusion_dpcr\seed9\train1.0_repair0.5\synth.csv,outputs\C\dp_diffusion_dpcr\seed9\train1.0_repair0.5\synth.csv
C,9,3.0,2.0,DP-Diffusion+DP-CR,no_dp_match,outputs\C\dp_diffusion_dpcr\seed9\train3.0_repair2.0,outputs\C\dp_diffusion_dpcr\seed9\train3.0_repair2.0\synth.csv,outputs\C\dp_diffusion_dpcr\seed9\train3.0_repair2.0\synth.csv
C,9,4.0,1.0,DP-Diffusion+DP-CR,no_dp_match,outputs\C\dp_diffusion_dpcr\seed9\train4.0_repair1.0,outputs\C\dp_diffusion_dpcr\seed9\train4.0_repair1.0\synth.csv,outputs\C\dp_diffusion_dpcr\seed9\train4.0_repair1.0\synth.csv
C,10,0.5,0.5,DP-Diffusion+DP-CR,no_dp_match,outputs\C\dp_diffusion_dpcr\seed10\train0.5_repair0.5,outputs\C\dp_diffusion_dpcr\seed10\train0.5_repair0.5\synth.csv,outputs\C\dp_diffusion_dpcr\seed10\train0.5_repair0.5\synth.csv
C,10,1.0,0.5,DP-Diffusion+DP-CR,no_dp_match,outputs\C\dp_diffusion_dpcr\seed10\train1.0_repair0.5,outputs\C\dp_diffusion_dpcr\seed10\train1.0_repair0.5\synth.csv,outputs\C\dp_diffusion_dpcr\seed10\train1.0_repair0.5\synth.csv
C,10,3.0,2.0,DP-Diffusion+DP-CR,no_dp_match,outputs\C\dp_diffusion_dpcr\seed10\train3.0_repair2.0,outputs\C\dp_diffusion_dpcr\seed10\train3.0_repair2.0\synth.csv,outputs\C\dp_diffusion_dpcr\seed10\train3.0_repair2.0\synth.csv
C,10,4.0,1.0,DP-Diffusion+DP-CR,no_dp_match,outputs\C\dp_diffusion_dpcr\seed10\train4.0_repair1.0,outputs\C\dp_diffusion_dpcr\seed10\train4.0_repair1.0\synth.csv,outputs\C\dp_diffusion_dpcr\seed10\train4.0_repair1.0\synth.csv
C,11,1.0,0.5,DP-Diffusion+DP-CR,no_dp_match,outputs\C\dp_diffusion_dpcr\seed11\train1.0_repair0.5,outputs\C\dp_diffusion_dpcr\seed11\train1.0_repair0.5\synth.csv,outputs\C\dp_diffusion_dpcr\seed11\train1.0_repair0.5\synth.csv
C,12,1.0,0.5,DP-Diffusion+DP-CR,no_dp_match,outputs\C\dp_diffusion_dpcr\seed12\train1.0_repair0.5,outputs\C\dp_diffusion_dpcr\seed12\train1.0_repair0.5\synth.csv,outputs\C\dp_diffusion_dpcr\seed12\train1.0_repair0.5\synth.csv
C,43,0.7,0.3,DP-Diffusion+DP-CR,no_dp_match,outputs\C\dp_diffusion_dpcr\seed43\train0.7_repair0.3,outputs\C\dp_diffusion_dpcr\seed43\train0.7_repair0.3\synth.csv,outputs\C\dp_diffusion_dpcr\seed43\train0.7_repair0.3\synth.csv
C,43,3.0,2.0,DP-Diffusion+DP-CR,no_dp_match,outputs\C\dp_diffusion_dpcr\seed43\train3.0_repair2.0,outputs\C\dp_diffusion_dpcr\seed43\train3.0_repair2.0\synth.csv,outputs\C\dp_diffusion_dpcr\seed43\train3.0_repair2.0\synth.csv
C,44,0.7,0.3,DP-Diffusion+DP-CR,no_dp_match,outputs\C\dp_diffusion_dpcr\seed44\train0.7_repair0.3,outputs\C\dp_diffusion_dpcr\seed44\train0.7_repair0.3\synth.csv,outputs\C\dp_diffusion_dpcr\seed44\train0.7_repair0.3\synth.csv
C,44,3.0,2.0,DP-Diffusion+DP-CR,no_dp_match,outputs\C\dp_diffusion_dpcr\seed44\train3.0_repair2.0,outputs\C\dp_diffusion_dpcr\seed44\train3.0_repair2.0\synth.csv,outputs\C\dp_diffusion_dpcr\seed44\train3.0_repair2.0\synth.csv
